Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
0,ag_news,46.40666667,7425,14,161,0.437652726,1.991610917,594.8277938,2.43209436,6,0.38604927,4,1.517387474,0.75,4,0.6,0.58,0.57,0.2
1,amazon_review_polarity,97.98777778,8984,17,283,0.351998642,2.091793905,1878.430927,2.593926746,2,0,2,1,0.61,2,0.78,0.82,0.72,0.24
2,yelp_review_polarity,192.5877778,9222,5,1372,0.455491843,1.472803127,1322.577208,1.837930983,2,0,2,1,0.83,2,0.74,0.74,0.87,0.26
3,amazon_review_polarity,101.3833333,9026,16,265,0.355391402,2.054938423,1845.334704,2.334354859,4,0,2,1,0.69,2,0.61,0.54,0.58,0.27
4,yahoo_answers,55.01333333,6036,4,396,0.337635376,2.566583822,253.8066224,2.625537349,2,-0.169192063,10,2.240254064,0.9,10,0.91,0.91,0.9,0.56
5,dbpedia,66.21777778,9675,11,219,0.614781736,1.372961254,93.57259006,1.772076484,14,0.095966226,14,2.767681367,0.91,14,0.45,0.37,0.62,0.09
6,amazon_review_polarity,102.1155556,9273,21,373,0.349667052,2.075466574,1863.768983,2.398081891,2,0,2,1,0.79,2,0.7,0.7,0.84,0.35
7,amazon_review_polarity,98.66444444,8930,19,268,0.356730288,2.061432754,1851.166614,2.384081833,4,0,2,1,0.55,2,0.72,0.71,0.91,0.32
8,amazon_review_full,103.3511111,9061,15,284,0.260836737,2.038729201,456.1656587,2.230769706,2,0.29361011,5,2.351147223,0.86,5,0.86,0.97,0.97,0.66
9,ag_news,46.30666667,7491,16,205,0.421888007,2.015663613,602.0115325,2.394044279,5,-0.191273014,4,1.651001388,0.99,4,0.62,0.58,0.56,0.22
10,amazon_review_polarity,100.7666667,9175,16,509,0.356973271,2.059911889,1849.800876,2.633174957,3,0,2,1,0.99,2,0.79,0.8,0.88,0.29
11,dbpedia,65.16777778,9469,7,147,0.623374931,1.335676858,91.03151511,1.670192511,13,0.109181179,14,2.074995395,0.93,14,0.43,0.31,0.49,0.06
12,dbpedia,66.81888889,9602,5,175,0.617218793,1.340048771,91.32947776,1.847607048,14,0.253038915,14,1.753249647,0.92,14,0.57,0.4,0.65,0.14
13,yelp_review_polarity,190.0655556,9159,7,1493,0.459151027,1.460770509,1311.771917,1.869168649,2,0,2,1,0.98,2,0.71,0.65,0.73,0.39
14,dbpedia,64.92555556,9469,11,350,0.626143683,1.343888258,91.5911536,1.643014605,15,-0.324404902,14,2.021256413,0.94,14,0.54,0.39,0.58,0.08
15,dbpedia,67.92111111,9708,12,284,0.623700592,1.330620103,90.68687776,1.959965187,12,0.487934101,14,2.663147979,0.93,14,0.49,0.34,0.55,0.09
16,dbpedia,67.36555556,9645,11,641,0.626908373,1.332283206,90.80022468,1.82916455,13,0.134231211,14,1.815644473,0.91,14,0.53,0.38,0.6,0.09
17,amazon_review_polarity,101.18,9154,13,267,0.360739509,2.061056229,1850.828494,2.066103088,4,0,2,1,0.55,2,0.85,0.87,0.93,0.27
18,yelp_review_polarity,185.1644444,9085,8,1406,0.45130227,1.497104543,1344.399879,1.777879718,2,0,2,1,0.78,2,0.75,0.7,0.78,0.29
19,dbpedia,65.92,9624,13,138,0.626909667,1.332678911,90.82719346,1.838654458,12,-0.610264435,14,3.021640037,0.94,14,0.44,0.34,0.5,0.09
20,dbpedia,67.90111111,9698,11,210,0.621394042,1.342492777,91.49604617,1.912774854,15,1.279534174,14,1.902350202,0.96,14,0.49,0.35,0.61,0.08
21,dbpedia,65.75333333,9634,9,154,0.619399296,1.352514137,92.1790404,1.801171685,15,1.066992528,14,1.841024538,0.94,14,0.44,0.37,0.61,0.09
22,yelp_review_polarity,188.1811111,9326,5,1238,0.453325771,1.5044569,1351.002296,2.23374864,2,0,2,1,0.81,2,0.8,0.79,0.83,0.3
23,dbpedia,67.12777778,9669,8,194,0.617639276,1.37650969,93.81442964,1.751292751,14,0.856505275,14,3.887488756,0.96,14,0.57,0.44,0.64,0.12
24,amazon_review_polarity,98.54333333,8793,21,256,0.355535305,2.077349046,1865.459443,2.498533692,3,0,2,1,0.83,2,0.76,0.77,0.86,0.37
25,yelp_review_polarity,182.8122222,9264,6,1333,0.449586859,1.515988202,1361.357405,1.869833591,2,0,2,1,0.99,2,0.7,0.66,0.7,0.36
26,ag_news,46.65888889,7410,13,203,0.419095884,2.014716241,601.728584,2.840106282,4,1.459538318,4,2.303180096,0.75,4,0.71,0.68,0.68,0.26
27,yahoo_answers,55.77555556,6044,3,510,0.331261308,2.560808224,253.23548,2.418849961,5,-0.326292625,10,2.496740937,0.87,10,0.85,0.85,0.83,0.54
28,dbpedia,66.14666667,9454,12,147,0.619429094,1.363036332,92.89616849,1.827641783,12,-0.506967267,14,2.903133934,0.93,14,0.53,0.36,0.63,0.08
29,dbpedia,66.07444444,9684,8,182,0.61554637,1.356330971,92.43917236,1.803933993,16,0.790719577,14,5.835197001,0.94,14,0.47,0.41,0.53,0.06
30,amazon_review_polarity,98.80111111,8978,18,290,0.34759995,2.101019748,1886.715733,2.56191307,3,0,2,1,0.85,2,0.78,0.78,0.81,0.35
31,amazon_review_polarity,103.0744444,9310,18,346,0.353095992,2.048034029,1839.134558,2.294869054,2,0,2,1,0.66,2,0.7,0.71,0.83,0.33
32,yelp_review_polarity,180.4233333,9041,5,1112,0.443605006,1.526333684,1370.647648,1.734360088,2,0,2,1,0.87,2,0.81,0.79,0.84,0.23
33,yelp_review_polarity,187.2144444,9123,5,1257,0.457904483,1.461360103,1312.301373,1.773986508,3,0,2,1,0.7,2,0.81,0.79,0.78,0.26
34,yelp_review_polarity,181.74,8980,4,1543,0.448189235,1.505009604,1351.498625,2.019699677,3,0,2,1,0.88,2,0.72,0.7,0.82,0.3
35,yelp_review_polarity,188.1866667,9156,7,1255,0.44848374,1.505111041,1351.589714,1.873410052,2,0,2,1,0.88,2,0.57,0.59,0.59,0.23
36,yelp_review_polarity,193.1833333,9393,8,1652,0.454655712,1.487282783,1335.579939,1.779515526,2,0,2,1,0.64,2,0.89,0.88,0.84,0.3
37,amazon_review_polarity,101.8388889,8970,18,328,0.353898898,2.06497879,1854.350953,2.383244183,3,0,2,1,0.63,2,0.84,0.81,0.89,0.38
38,yelp_review_polarity,193.25,9359,7,1131,0.447717963,1.497324589,1344.597481,1.732558428,2,0,2,1,0.83,2,0.73,0.85,0.86,0.32
